,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,codrington,-38.2667,141.9667,55.0,68.0,61.0,12.68,AU,1611678242.0
1,bireun,5.203,96.7009,77.52,83.0,98.0,4.18,ID,1611678316.0
2,grindavik,63.8424,-22.4338,26.6,54.0,0.0,21.85,IS,1611678495.0
3,nuuk,64.1835,-51.7216,21.2,73.0,75.0,9.22,GL,1611678216.0
4,vao,-22.6667,167.4833,76.73,75.0,78.0,19.64,NC,1611678495.0
5,bambous virieux,-20.3428,57.7575,80.6,65.0,20.0,3.65,MU,1611678395.0
6,khatanga,71.9667,102.5,-23.93,84.0,95.0,6.67,RU,1611678253.0
7,mataura,-46.1927,168.8643,70.0,53.0,100.0,11.01,NZ,1611678395.0
8,taoudenni,22.6783,-3.9836,89.08,11.0,0.0,14.92,ML,1611678495.0
9,alofi,-19.0595,-169.9187,71.6,100.0,100.0,8.05,NU,1611678496.0
10,hobart,-42.8794,147.3294,53.6,58.0,75.0,9.22,AU,1611678396.0
11,eureka,40.8021,-124.1637,39.99,74.0,100.0,7.0,US,1611678496.0
12,nipawin,53.3668,-104.0009,-31.0,68.0,1.0,2.3,CA,1611678496.0
13,busselton,-33.65,115.3333,53.01,85.0,59.0,6.85,AU,1611678496.0
14,bogorodskoye,56.55,37.8833,33.48,97.0,100.0,15.73,RU,1611678396.0
15,jamestown,42.097,-79.2353,34.0,100.0,90.0,9.33,US,1611678456.0
16,lebu,-37.6167,-73.65,60.58,60.0,0.0,18.66,CL,1611678397.0
17,bredasdorp,-34.5322,20.0403,73.4,60.0,22.0,10.36,ZA,1611678397.0
18,morro bay,35.3658,-120.8499,41.0,86.0,1.0,4.61,US,1611678397.0
19,marsa matruh,31.3525,27.2453,64.4,32.0,0.0,8.05,EG,1611678397.0
20,avarua,-21.2078,-159.775,77.0,88.0,63.0,11.5,CK,1611678207.0
21,kahului,20.8947,-156.47,73.4,68.0,40.0,11.5,US,1611678497.0
22,garowe,8.4054,48.4845,77.92,45.0,0.0,17.98,SO,1611678497.0
23,bluff,-46.6,168.3333,70.0,53.0,100.0,11.01,NZ,1611678497.0
24,norman wells,65.282,-126.8329,-18.4,76.0,75.0,3.44,CA,1611678249.0
25,acarau,-2.8856,-40.12,86.74,61.0,96.0,17.25,BR,1611678498.0
26,port huron,42.9709,-82.4249,32.0,100.0,90.0,11.5,US,1611678498.0
27,castro,-24.7911,-50.0119,71.76,85.0,95.0,9.35,BR,1611678498.0
28,tiksi,71.6872,128.8694,-36.33,80.0,95.0,1.32,RU,1611678498.0
29,ushuaia,-54.8,-68.3,42.8,70.0,40.0,16.11,AR,1611678350.0
30,aktas,49.7789,72.9608,17.6,86.0,90.0,11.18,KZ,1611678498.0
31,araouane,18.9048,-3.5265,87.51,9.0,0.0,10.74,ML,1611678499.0
32,biak,-0.9131,122.8766,77.22,72.0,100.0,6.15,ID,1611678499.0
33,hermanus,-34.4187,19.2345,73.0,65.0,12.0,4.0,ZA,1611678287.0
